id;название;начало_периода;конец_периода;активность;Дата изм.
1111181;до 2018;31.12.2000;31.03.2017;true;16.07.2024
1111124;2018;01.04.2017;31.03.2018;true;17.07.2024
1111125;1п - 2018;01.04.2017;30.09.2017;true;17.07.2024
1111126;2п -2018;01.10.2017;31.03.2018;true;17.07.2024
1111127;2019;01.04.2018;31.03.2019;true;17.07.2024
1111128;1п - 2019;01.04.2018;30.09.2018;true;17.07.2024
1111129;2п - 2019;01.10.2018;31.03.2019;true;17.07.2024
1111133;2020;01.04.2019;31.03.2020;true;17.07.2024
1111134;1п - 2020;01.04.2019;30.09.2019;true;17.07.2024
1111135;2п - 2020;01.10.2019;31.03.2020;true;17.07.2024
1111142;2021;01.04.2020;31.03.2021;true;17.07.2024
1111143;1п - 2021;01.04.2020;30.09.2020;true;17.07.2024
1111144;2п -2021;01.10.2020;31.03.2021;true;17.07.2024
1111145;2022;01.04.2021;31.03.2022;true;17.07.2024
1111146;1п - 2022;01.04.2021;30.09.2021;true;17.07.2024
1111147;2п - 2022;01.10.2021;31.03.2022;true;17.07.2024
1111154;2023;01.04.2022;31.03.2023;true;17.07.2024
1111155;1п - 2023;01.04.2022;30.09.2022;true;17.07.2024
1111156;2п -2023;01.10.2022;31.03.2023;true;17.07.2024
1111160;2024;01.04.2023;31.03.2024;true;17.07.2024
1111161;1п - 2024;01.04.2023;30.09.2023;true;17.07.2024
1111162;2п -2024;01.10.2023;31.03.2024;true;17.07.2024
1111163;2025;01.04.2024;31.03.2025;true;17.07.2024
1111164;1п - 2025;01.04.2024;30.09.2024;true;17.07.2024
1111165;2п - 2025 ;01.10.2024;31.03.2025;true;17.07.2024
1111166;2026;01.04.2025;31.03.2026;true;17.07.2024
1111167;1п - 2026;01.04.2025;30.09.2025;true;17.07.2024
1111168;2п - 2026;01.10.2025;31.03.2026;true;17.07.2024
1111169;2027;01.04.2026;31.03.2027;true;17.07.2024
1111170;1п - 2027;01.04.2026;30.09.2026;true;17.07.2024
1111171;2п - 2027;01.10.2026;31.03.2027;true;17.07.2024
1111172;2028;01.04.2027;31.03.2028;true;17.07.2024
1111173;1п - 2028;01.04.2027;30.09.2027;true;17.07.2024
1111174;2п - 2028;01.10.2027;31.03.2028;true;17.07.2024
1111175;2029;01.04.2028;31.03.2029;true;17.07.2024
1111176;1п - 2029;01.04.2028;30.09.2028;true;17.07.2024
1111177;2п - 2029;01.10.2028;31.03.2029;true;17.07.2024
1111178;2030;01.04.2029;31.03.2030;true;17.07.2024
1111179;1п - 2030;01.04.2029;30.09.2029;true;17.07.2024
1111180;2п - 2030;01.10.2029;31.03.203;true;17.07.2024
